id,key,value,type
10092162,name_type,Rd,tiger
10092162,name_base_1,800,tiger
10092162,name_direction_prefix_1,N,tiger
10092162,name_direction_suffix_1,W,tiger
10092246,name,West 550 No,regular
10092246,name_1,West 550 North,regular
10092246,highway,residential,regular
10092246,cfcc,A41,tiger
10092246,county,"Davis, UT",tiger
10092246,reviewed,no,tiger
10092246,name_base,550 No,tiger
10092246,name_base_1,550,tiger
10092246,name_direction_prefix,W,tiger
10092246,name_direction_prefix_1,W,tiger
10092246,name_direction_suffix_1,N,tiger
10092320,name,Compton Road,regular
10092320,name_1,Compton Drive,regular
10092320,name_2,North 300 West,regular
10092320,oneway,yes,regular
10092320,highway,residential,regular
10092320,cfcc,A41,tiger
10092320,county,"Davis, UT",tiger
10092320,reviewed,no,tiger
10092320,name_base,Compton,tiger
10092320,name_type,Rd,tiger
10092320,name_base_1,Compton,tiger
10092320,name_base_2,300,tiger
10092320,name_type_1,Dr,tiger
10092320,name_direction_prefix_2,N,tiger
10092320,name_direction_suffix_2,W,tiger
10092436,name,East 1175 South,regular
10092436,name_1,Apple Acres Trct,regular
10092436,highway,residential,regular
10092436,cfcc,A41,tiger
10092436,county,"Davis, UT",tiger
10092436,reviewed,no,tiger
10092436,name_base,1175,tiger
10092436,name_base_1,Apple Acres Trct,tiger
10092436,name_direction_prefix,E,tiger
10092436,name_direction_suffix,S,tiger
10092550,name,South Countryside Road West,regular
10092550,name_1,1915,regular
10092550,highway,residential,regular
10092550,cfcc,A41,tiger
10092550,county,"Davis, UT",tiger
10092550,reviewed,no,tiger
10092550,name_base,Countryside,tiger
10092550,name_type,Rd,tiger
10092550,name_base_1,1915,tiger
10092550,name_direction_prefix,S,tiger
10092550,name_direction_suffix,W,tiger
10092649,name,East 1375 South,regular
10092649,highway,residential,regular
10092649,cfcc,A41,tiger
10092649,county,"Davis, UT",tiger
10092649,reviewed,no,tiger
10092649,name_base,1375,tiger
10092649,name_direction_prefix,E,tiger
10092649,name_direction_suffix,S,tiger
10092738,name,Smith Lane,regular
10092738,highway,residential,regular
10092738,cfcc,A41,tiger
10092738,county,"Davis, UT",tiger
10092738,reviewed,no,tiger
10092738,name_base,Smith,tiger
10092738,name_type,Ln,tiger
10092824,name,North 725 West,regular
10092824,highway,residential,regular
10092824,cfcc,A41,tiger
10092824,county,"Davis, UT",tiger
10092824,reviewed,no,tiger
10092824,name_base,725,tiger
10092824,name_direction_prefix,N,tiger
10092824,name_direction_suffix,W,tiger
10092887,name,Cherry Lane,regular
10092887,highway,residential,regular
10092887,cfcc,A41,tiger
10092887,county,"Davis, UT",tiger
10092887,reviewed,no,tiger
10092887,name_base,Cherry,tiger
10092887,name_type,Ln,tiger
10092991,name,West 100 South,regular
10092991,highway,residential,regular
10092991,cfcc,A41,tiger
10092991,county,"Davis, UT",tiger
10092991,reviewed,no,tiger
10092991,name_base,100,tiger
10092991,name_direction_prefix,W,tiger
10092991,name_direction_suffix,S,tiger
10093075,name,West 55 North,regular
10093075,highway,residential,regular
10093075,cfcc,A41,tiger
10093075,county,"Davis, UT",tiger
10093075,reviewed,no,tiger
10093075,name_base,55,tiger
10093075,name_direction_prefix,W,tiger
10093075,name_direction_suffix,N,tiger
10093167,name,West 1400 South,regular
10093167,highway,residential,regular
10093167,cfcc,A41,tiger
10093167,county,"Davis, UT",tiger
10093167,reviewed,no,tiger
10093167,name_base,1400,tiger
10093167,name_direction_prefix,W,tiger
10093167,name_direction_suffix,S,tiger
10093259,name,South Holbrook Road,regular
10093259,highway,residential,regular
10093259,cfcc,A41,tiger
10093259,county,"Davis, UT",tiger
10093259,reviewed,no,tiger
10093259,name_base,Holbrook,tiger
10093259,name_type,Rd,tiger
10093259,name_direction_prefix,S,tiger
10093331,name,East 1200 South,regular
10093331,highway,residential,regular
10093331,cfcc,A41,tiger
10093331,county,"Davis, UT",tiger
10093331,reviewed,no,tiger
10093331,name_base,1200,tiger
10093331,name_direction_prefix,E,tiger
10093331,name_direction_suffix,S,tiger
10093473,name,West 1600 North,regular
10093473,name_1,Ricks Creek Way,regular
10093473,highway,residential,regular
10093473,cfcc,A41,tiger
10093473,county,"Davis, UT",tiger
10093473,reviewed,no,tiger
10093473,name_base,1600,tiger
10093473,name_base_1,Ricks Creek,tiger
10093473,name_type_1,Way,tiger
10093473,name_direction_prefix,W,tiger
10093473,name_direction_suffix,N,tiger
10093585,name,South 675 East,regular
10093585,highway,residential,regular
10093585,cfcc,A41,tiger
10093585,county,"Davis, UT",tiger
10093585,reviewed,no,tiger
10093585,name_base,675,tiger
10093585,name_direction_prefix,S,tiger
10093585,name_direction_suffix,E,tiger
10093725,ref,US 89,regular
10093725,lanes,1,regular
10093725,oneway,yes,regular
10093725,bicycle,no,regular
10093725,highway,motorway_link,regular
10093725,old_ref,SR 169 (old SR 1 (old SR 106)),regular
10093725,cfcc,A25,tiger
10093725,county,"Davis, UT",tiger
10093725,reviewed,no,tiger
10093725,name_base,500 West,tiger
10093725,name_type,St,tiger
10093725,name_base_1,United States Highway 89,tiger
10093725,name_direction_prefix,N,tiger
10093797,name,Sunset Loop Drive,regular
10093797,name_1,Sunset Loop,regular
10093797,highway,residential,regular
10093797,cfcc,A41,tiger
10093797,county,"Davis, UT",tiger
10093797,reviewed,no,tiger
10093797,name_base,Sunset Loop,tiger
10093797,name_type,Dr,tiger
10093797,name_base_1,Sunset,tiger
10093797,name_type_1,Loop,tiger
10093908,name,East 450 South,regular
10093908,highway,residential,regular
10093908,cfcc,A41,tiger
10093908,county,"Davis, UT",tiger
10093908,reviewed,no,tiger
10093908,name_base,450,tiger
10093908,name_direction_prefix,E,tiger
10093908,name_direction_suffix,S,tiger
10093990,name,East 1500 South,regular
10093990,highway,residential,regular
10093990,cfcc,A41,tiger
10093990,county,"Davis, UT",tiger
10093990,reviewed,no,tiger
10093990,name_base,1500,tiger
10093990,name_direction_prefix,E,tiger
10093990,name_direction_suffix,S,tiger
10094094,name,South 775 West,regular
10094094,highway,residential,regular
10094094,cfcc,A41,tiger
10094094,county,"Davis, UT",tiger
10094094,reviewed,no,tiger
10094094,name_base,775,tiger
10094094,name_direction_prefix,S,tiger
10094094,name_direction_suffix,W,tiger
10094201,name,Eugene Street,regular
10094201,highway,residential,regular
10094201,cfcc,A41,tiger
10094201,county,"Davis, UT",tiger
10094201,reviewed,no,tiger
10094201,name_base,Eugene,tiger
10094201,name_type,St,tiger
10094277,name,North Vista View Drive West,regular
10094277,name_1,1350,regular
10094277,highway,residential,regular
10094277,cfcc,A41,tiger
10094277,county,"Davis, UT",tiger
10094277,reviewed,no,tiger
10094277,name_base,Vista View,tiger
10094277,name_type,Dr,tiger
10094277,name_base_1,1350,tiger
10094277,name_direction_prefix,N,tiger
10094277,name_direction_suffix,W,tiger
10094352,name,East 1900 South,regular
10094352,highway,residential,regular
10094352,cfcc,A41,tiger
10094352,county,"Davis, UT",tiger
10094352,reviewed,no,tiger
10094352,name_base,1900,tiger
10094352,name_direction_prefix,E,tiger
10094352,name_direction_suffix,S,tiger
10094442,name,North 520 West,regular
10094442,highway,residential,regular
10094442,cfcc,A41,tiger
10094442,county,"Davis, UT",tiger
10094442,reviewed,no,tiger
10094442,name_base,520,tiger
10094442,name_direction_prefix,N,tiger
10094442,name_direction_suffix,W,tiger
10094579,name,Rock Mill Lane,regular
10094579,name_1,North 25 East,regular
10094579,highway,residential,regular
10094579,cfcc,A41,tiger
10094579,county,"Davis, UT",tiger
10094579,reviewed,no,tiger
10094579,name_base,Rock Mill,tiger
10094579,name_type,Ln,tiger
10094681,name,Shadowridge Drive,regular
10094681,highway,residential,regular
10094681,cfcc,A41,tiger
10094681,county,"Davis, UT",tiger
10094681,reviewed,no,tiger
10094681,name_base,Shadowridge,tiger
10094681,name_type,Dr,tiger
10094875,name,West 1000 South,regular
10094875,highway,residential,regular
10094875,cfcc,A41,tiger
10094875,county,"Davis, UT",tiger
10094875,reviewed,no,tiger
10094875,name_base,1000,tiger
10094875,name_direction_prefix,W,tiger
10094875,name_direction_suffix,S,tiger
10094961,name,North 720 West,regular
10094961,highway,residential,regular
10094961,cfcc,A41,tiger
10094961,county,"Davis, UT",tiger
10094961,reviewed,no,tiger
10094961,name_base,720,tiger
10094961,name_direction_prefix,N,tiger
10094961,name_direction_suffix,W,tiger
10095035,name,Fairway Circle,regular
10095035,name_1,West 1170 North,regular
10095035,highway,residential,regular
10095035,cfcc,A41,tiger
10095035,county,"Davis, UT",tiger
10095035,reviewed,no,tiger
10095035,name_base,Fairway,tiger
10095035,name_type,Cir,tiger
10095035,name_base_1,1170,tiger
10095184,name,West 1200 South,regular
10095184,highway,residential,regular
10095184,cfcc,A41,tiger
10095184,county,"Davis, UT",tiger
10095184,reviewed,no,tiger
10095184,name_base,1200,tiger
10095184,name_direction_prefix,W,tiger
10095184,name_direction_suffix,S,tiger
10095302,name,West 2050 South,regular
10095302,highway,residential,regular
10095302,maxspeed,25 mph,regular
10095302,cfcc,A41,tiger
10095302,county,"Davis, UT",tiger
10095302,name_base,2050,tiger
10095302,name_direction_prefix,W,tiger
10095302,name_direction_suffix,S,tiger
10095379,name,Ellis Circle,regular
10095379,name_1,West 1700 South,regular
10095379,highway,residential,regular
10095379,cfcc,A41,tiger
10095379,county,"Davis, UT",tiger
10095379,reviewed,no,tiger
10095379,name_base,Ellis,tiger
10095379,name_type,Cir,tiger
10095379,name_base_1,1700,tiger
10095379,name_direction_prefix_1,W,tiger
10095379,name_direction_suffix_1,S,tiger
10095473,name,1450 West,regular
10095473,highway,residential,regular
10095473,cfcc,A41,tiger
10095473,county,"Davis, UT",tiger
10095473,reviewed,no,tiger
10095473,name_base,1450,tiger
10095473,name_direction_suffix,W,tiger
10095559,name,North Davis Boulevard,regular
10095559,name_1,1050,regular
10095559,highway,residential,regular
10095559,cfcc,A41,tiger
10095559,county,"Davis, UT",tiger
10095559,reviewed,no,tiger
10095559,name_base,Davis,tiger
10095559,name_type,Blvd,tiger
10095559,name_base_1,1050,tiger
10095559,name_direction_prefix,N,tiger
10095631,name,South 900 West,regular
10095631,highway,residential,regular
10095631,cfcc,A41,tiger
10095631,county,"Davis, UT",tiger
10095631,reviewed,no,tiger
10095631,name_base,900,tiger
10095631,name_direction_prefix,S,tiger
10095631,name_direction_suffix,W,tiger
10095708,name,West 1960 South,regular
10095708,highway,residential,regular
10095708,cfcc,A41,tiger
10095708,county,"Davis, UT",tiger
10095708,reviewed,no,tiger
10095708,name_base,1960,tiger
10095708,name_direction_prefix,W,tiger
10095708,name_direction_suffix,S,tiger
10095815,name,Antelope Island Road,regular
10095815,highway,track,regular
10095815,cfcc,A41,tiger
10095815,county,"Davis, UT",tiger
10095815,name_base,Antelope Island,tiger
10095815,name_type,Rd,tiger
10096107,oneway,yes,regular
10096107,highway,service,regular
10096107,service,parking_aisle,regular
10096107,cfcc,A41,tiger
10096107,tlid,155368587,tiger
10096107,county,"Davis, UT",tiger
10096107,source,tiger_import_dch_v0.6_20070830,tiger
10096107,separated,no,tiger
10096107,upload_uuid,bulk_upload.pl-9bac8d80-461b-4570-833d-f2ebb6879964,tiger
10096260,name,San Simeon Way,regular
10096260,name_1,East 2300 South,regular
10096260,highway,residential,regular
10096260,cfcc,A41,tiger
10096260,county,"Davis, UT",tiger
10096260,reviewed,no,tiger
10096260,name_base,San Simeon,tiger
10096260,name_type,Way,tiger
10096260,name_base_1,2300,tiger
10096260,name_direction_prefix_1,E,tiger
10096260,name_direction_suffix_1,S,tiger
10096410,name,North 150 East,regular
10096410,highway,residential,regular
10096410,cfcc,A41,tiger
10096410,county,"Davis, UT",tiger
10096410,name_base,150,tiger
10096410,name_direction_prefix,N,tiger
10096410,name_direction_suffix,E,tiger
10096517,name,South 300 East,regular
10096517,highway,residential,regular
10096517,cfcc,A41,tiger
10096517,county,"Davis, UT",tiger
10096517,name_base,300,tiger
10096517,name_direction_prefix,S,tiger
10096517,name_direction_suffix,E,tiger
10096564,name,Bar Dee Lane,regular
10096564,highway,residential,regular
10096564,cfcc,A41,tiger
10096564,county,"Davis, UT",tiger
10096564,reviewed,no,tiger
10096564,name_base,Bar Dee,tiger
10096564,name_type,Ln,tiger
10096644,name,Millshadow Drive,regular
10096644,highway,residential,regular
10096644,cfcc,A41,tiger
10096644,county,"Davis, UT",tiger
10096644,reviewed,no,tiger
10096644,name_base,Millshadow,tiger
10096644,name_type,Dr,tiger
